,Коммандировка,Опыт,О себе,Образование,Интересы,Ссылка
0,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/a0ab12d000087ed0520039ed1f384d59475963?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
1,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/0d66f5d10005e944560039ed1f593175665047?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
2,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/a94ca4350007f48d040039ed1f377442384f6d?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
3,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/af4f82c5000837ce180039ed1f4d4131436730?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
4,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/5c024c010000bdcdbd0039ed1f736563726574?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
5,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/a460bf600008813d1e0039ed1f7252726c6475?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
6,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/1d5acdda0008d6a0580039ed1f4a7241334b35?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
7,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/2f749adc0008c72cd80039ed1f763666707867?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
8,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/7d73f7a6000791ba650039ed1f754c38477469?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
9,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/f272fc6a00030e738b0039ed1f4d3830324877?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
10,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/2ff8ea3e00080e2a630039ed1f566263377769?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
11,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/232a4ee70008744c570039ed1f363464664267?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
12,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/9f0e2b9a0007c9c6f80039ed1f504566476d46?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
13,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/c7f6380b00042346ca0039ed1f633576376735?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
14,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/8b8644a70008108efb0039ed1f51454f35516d?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
15,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/63ce33150008e29e140039ed1f3377394b6c5a?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
16,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/04f509b3000381ae380039ed1f61686f7a6c35?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
17,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/ee2448210005c2f0080039ed1f417169585146?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
18,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/98302ce7000769210d0039ed1f485a62796430?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
19,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/6392ee9a00090bacac0039ed1f566252387178?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
20,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/5352e283000342fc4b0039ed1f634245625036?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
21,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/3f417c4600025706ec0039ed1f62456f646450?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
22,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/220013ca000590217f0039ed1f4b6862645a63?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
23,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/c5e4c0ff000880346a0039ed1f657a4e544363?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
